,Category,Message
1829,not-spam,May i call You later Pls
1830,spam,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX"
1831,not-spam,That's the way you should stay oh.
1832,not-spam,Hello- thanx for taking that call. I got a job! Starts on monday!
1833,not-spam,What time is ur flight tmr?
1834,not-spam,When should I come over?
1835,not-spam,I have a rather prominent bite mark on my right cheek
1836,not-spam,* Will be september by then!
1837,not-spam,Are you wet right now?
1838,not-spam,And how's your husband.
1839,spam,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx"
1840,not-spam,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!
1841,not-spam,Yeah. I got a list with only u and Joanna if I'm feeling really anti social
1842,not-spam,I am in your office na.
1843,not-spam,Are you comingdown later?
1844,not-spam,Super da:)good replacement for murali
1845,not-spam,Da is good good player.why he is unsold.
1846,not-spam,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.
1847,not-spam,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!
1848,spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV"
1849,not-spam,I dont want to hear philosophy. Just say what happen
1850,not-spam,You got job in wipro:)you will get every thing in life in 2 or 3 years.
1851,not-spam,Then cant get da laptop? My matric card wif ü lei...
1852,not-spam,Dunno da next show aft 6 is 850. Toa payoh got 650.
1853,spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate"
1854,not-spam,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.
1855,not-spam,They did't play one day last year know even though they have very good team.. Like india.
1856,not-spam,K.:)you are the only girl waiting in reception ah?
1857,not-spam,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
1858,not-spam,I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house.
1859,not-spam,"Sir, i am waiting for your call."
1860,not-spam,What's up. Do you want me to come online?
1861,not-spam,"It could work, we'll reach a consensus at the next meeting"
1862,not-spam,Aiyah then i wait lor. Then u entertain me. Hee...
1863,not-spam,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed."
1864,not-spam,I'll let you know when it kicks in
1865,not-spam,You call him now ok i said call him
1866,not-spam,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.
1867,not-spam,Or ü go buy wif him then i meet ü later can?
1868,not-spam,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*
1869,not-spam,Today my system sh get ready.all is well and i am also in the deep well
1870,not-spam,Mom wants to know where you at
1871,not-spam,"Aight, I'll text you when I'm back"
1872,not-spam,Dont know supports ass and srt i thnk. I think ps3 can play through usb too
1873,not-spam,Oh ok i didnt know what you meant. Yep i am baby jontin
1874,spam,You have WON a guaranteed £1000 cash or a £2000 prize.To claim yr prize call our customer service representative on
1875,spam,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!
1876,spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
1877,not-spam,Watching tv now. I got new job :)
1878,not-spam,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!
1879,not-spam,I AM AT A PARTY WITH ALEX NICHOLS
1880,spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
1881,not-spam,Just seeing your missed call my dear brother. Do have a gr8 day.
1882,not-spam,Ok.. Ü finishing soon?
1883,not-spam,"Sorry, I can't help you on this."
1884,not-spam,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-("
1885,not-spam,I love your ass! Do you enjoy doggy style? :)
1886,not-spam,I think asking for a gym is the excuse for lazy people. I jog.
1887,spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
1888,spam,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or £5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm
1889,not-spam,No. On the way home. So if not for the long dry spell the season would have been over
1890,not-spam,I gotta collect da car at 6 lei.
1891,not-spam,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.
1892,not-spam,Probably earlier than that if the station's where I think it is
1893,spam,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+
1894,not-spam,Good Morning plz call me sir
1895,spam,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)"
1896,not-spam,"Uh, heads up we don't have THAT much left"
1897,not-spam,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.
1898,not-spam,"Aight, sounds good. When do you want me to come down?"
1899,not-spam,Wat would u like 4 ur birthday?
1900,not-spam,I love working from home :)
1901,not-spam,And miss vday the parachute and double coins??? U must not know me very well...
1902,not-spam,"Sorry, I'll call later"
1903,not-spam,My sister got placed in birla soft da:-)
1904,spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
1905,not-spam,Wah... Okie okie... Muz make use of e unlimited... Haha...
1906,not-spam,"There're some people by mu, I'm at the table by lambda"
1907,not-spam,And stop being an old man. You get to build snowman snow angels and snowball fights.
1908,not-spam,ELLO BABE U OK?
1909,not-spam,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u
1910,not-spam,Then u going ikea str aft dat?
1911,not-spam,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer
1912,not-spam,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.
1913,not-spam,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.
1914,not-spam,You want to go?
1915,spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl
1916,not-spam,Its not that time of the month nor mid of the time?
1917,not-spam,Fffff. Can you text kadeem or are you too far gone
1918,not-spam,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
1919,not-spam,Is fujitsu s series lifebook good?
1920,not-spam,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.
1921,not-spam,Dont know you bring some food
1922,not-spam,No current and food here. I am alone also
1923,not-spam,I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...
1924,not-spam,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?
1925,not-spam,Ok
1926,not-spam,We don call like  &lt;#&gt;  times oh. No give us hypertension oh.
1927,not-spam,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!"
1928,not-spam,Omg it could snow here tonite!
1929,spam,Call from 08702490080 - tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
1930,spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.
1931,not-spam,Carry on not disturbing both of you
1932,not-spam,What pa tell me.. I went to bath:-)
1933,not-spam,Jus finished avatar nigro
1934,not-spam,R u over scratching it?
1935,not-spam,Hope you are having a great day.
1936,not-spam,Did either of you have any idea's? Do you know of anyplaces doing something?
1937,not-spam,"My planning usually stops at ""find hella weed, smoke hella weed"""
1938,not-spam,"The fact that you're cleaning shows you know why i'm upset. Your priority is constantly ""what i want to do,"" not ""what i need to do."""
1939,not-spam,Excellent! Are you ready to moan and scream in ecstasy?
1940,spam,More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. A£1.50 minAPN LS278BB
1941,not-spam,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex
1942,spam,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
1943,not-spam,K...k:)why cant you come here and search job:)
1944,not-spam,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(
1945,not-spam,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu"
1946,not-spam,Can ü call me at 10:10 to make sure dat i've woken up...
1947,not-spam,Hey we can go jazz power yoga hip hop kb and yogasana
1948,not-spam,The battery is for mr adewale my uncle. Aka Egbon
1949,not-spam,I cant pick the phone right now. Pls send a message
1950,not-spam,Wait 2 min..stand at bus stop
1951,not-spam,Oh ic. I thought you meant mary jane.
1952,not-spam,Haha... Really oh no... How? Then will they deduct your lesson tmr?
1953,not-spam,Nah im goin 2 the wrks with j wot bout u?
1954,not-spam,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................
1955,not-spam,Good night. Am going to sleep.
1956,not-spam,"Aight I'll grab something to eat too, text me when you're back at mu"
1957,not-spam,K...k:)why cant you come here and search job:)
1958,not-spam,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.
1959,not-spam,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite"
1960,not-spam,Howz that persons story
1961,spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18
1962,not-spam,LOL that would be awesome payback.
1963,spam,it to 80488. Your 500 free text messages are valid until 31 December 2005.
1964,not-spam,Yes :)it completely in out of form:)clark also utter waste.
1965,not-spam,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
1966,not-spam,Thanks. It was only from tescos but quite nice. All gone now. Speak soon
1967,not-spam,What's a feathery bowa? Is that something guys have that I don't know about?
1968,not-spam,Even i cant close my eyes you are in me our vava playing umma :-D
1969,not-spam,2 laptop... I noe infra but too slow lar... I wan fast one
